numtaxa,nretics_true,nretics_est,nretics_inside,nretics_outside,nretics_duplicated,constraint_sizes,estRFerror,gauss_error,constraint_error_sum,replicate_num
50,2,2.0,2,0,0,"11,9,13,8,10",6.0,1.800002340117841,6.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",24.0,0.5098429398997787,18.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",18.0,0.053498672081764176,16.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",28.0,1.2804371131626557,16.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,3.407779455371381,26.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",32.0,0.05637022220972565,24.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,6.379448694540157,20.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",24.0,0.021789795154270514,18.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,3.859364577887387,36.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",18.0,1.1021628076682022,16.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",4.0,0.029368425638489102,2.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",46.0,1.6599229437615195,34.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",42.0,1.1541048605110489,32.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",38.0,1.6151113288191075,26.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",4.0,1.2818647656172675,2.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",14.0,0.09906546242514969,8.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",40.0,0.00047588142745520897,28.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",20.0,0.04334238657599854,8.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",28.0,2.469231720808988,2.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",14.0,1.1520453729235625,12.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",46.0,1.9674347978638795,26.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",20.0,0.8981666231934038,10.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",22.0,1.7331056079416562,20.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",24.0,0.38958470559530745,20.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",10.0,0.1039738192770315,8.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",18.0,1.1472800159813157,14.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",38.0,0.33478012476097935,28.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,3.2905078727778054,4.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",40.0,0.08333213986094597,24.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",16.0,0.19943154585398093,10.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",10.0,0.33358929688414307,4.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",44.0,0.4679089862546514,32.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",24.0,0.8204289196197934,18.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",32.0,1.946016573127654,20.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",32.0,0.9575104317767607,22.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",18.0,1.166568436307609,16.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",22.0,1.4584622944530141,10.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",20.0,0.417159120312132,16.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",44.0,1.9615096791271982,24.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",28.0,0.8867612540697543,24.0,1
